match_id,date,teams,venue,toss_winner,toss_decision,match_winner,win_type,win_margin,first_innings_score,second_innings_score,player_of_match,umpire,umpire1,umpire2,powerplay_scores,middle_overs_scores,death_overs_scores,innings_1_over_1,innings_1_over_2,innings_1_over_3,innings_1_over_4,innings_1_over_5,innings_1_over_6,innings_1_over_7,innings_1_over_8,innings_1_over_9,innings_1_over_10,innings_1_over_11,innings_1_over_12,innings_1_over_13,innings_1_over_14,innings_1_over_15,innings_1_over_16,innings_1_over_17,innings_1_over_18,innings_1_over_19,innings_1_over_20,innings_2_over_1,innings_2_over_2,innings_2_over_3,innings_2_over_4,innings_2_over_5,innings_2_over_6,innings_2_over_7,innings_2_over_8,innings_2_over_9,innings_2_over_10,innings_2_over_11,innings_2_over_12,innings_2_over_13,innings_2_over_14,innings_2_over_15,innings_2_over_16,innings_2_over_17,innings_2_over_18,innings_2_over_19,innings_2_over_20
335982,2008-04-18,Royal Challengers Bengaluru vs Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140.0,222.0,82.0,BB McCullum,Asad Rauf,RE Koertzen,J Srinath,61.0,97.0,64.0,0.0,18.0,5.0,17.0,10.0,1.0,7.0,5.0,4.0,10.0,11.0,10.0,11.0,6.0,22.0,4.0,14.0,7.0,21.0,22.0,3.0,1.0,2.0,3.0,8.0,2.0,5.0,4.0,3.0,6.0,5.0,3.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
335983,2008-04-19,Kings XI Punjab vs Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,240.0,207.0,MEK Hussey,MR Benson,SL Shastri,S Venkataraghavan,53.0,116.0,71.0,5.0,14.0,6.0,6.0,8.0,11.0,9.0,8.0,13.0,5.0,19.0,20.0,4.0,9.0,18.0,8.0,14.0,17.0,15.0,25.0,9.0,7.0,11.0,10.0,10.0,14.0,5.0,15.0,12.0,13.0,5.0,12.0,12.0,9.0,13.0,10.0,9.0,4.0,7.0,9.0
335984,2008-04-19,Delhi Daredevils vs Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,wickets,9.0,129.0,132.0,MF Maharoof,Aleem Dar,GA Pratapkumar,GR Viswanath,40.0,66.0,23.0,6.0,10.0,0.0,14.0,6.0,2.0,4.0,3.0,2.0,5.0,2.0,12.0,7.0,7.0,9.0,10.0,4.0,1.0,10.0,8.0,8.0,12.0,5.0,10.0,12.0,6.0,4.0,11.0,7.0,7.0,9.0,5.0,6.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0
335985,2008-04-20,Mumbai Indians vs Royal Challengers Bengaluru,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5.0,165.0,166.0,MV Boucher,SJ Davis,DJ Harper,J Srinath,47.0,71.0,47.0,8.0,1.0,5.0,3.0,18.0,6.0,7.0,6.0,11.0,1.0,7.0,13.0,3.0,1.0,6.0,12.0,10.0,20.0,9.0,7.0,10.0,1.0,11.0,5.0,9.0,3.0,6.0,8.0,14.0,7.0,4.0,14.0,10.0,3.0,9.0,8.0,10.0,19.0,8.0,2.0
335986,2008-04-20,Kolkata Knight Riders vs Deccan Chargers,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,110.0,112.0,DJ Hussey,BF Bowden,K Hariharan,FM Engineer,39.0,43.0,28.0,8.0,2.0,7.0,0.0,2.0,16.0,6.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,12.0,4.0,19.0,3.0,5.0,0.0,6.0,6.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,11.0,4.0,2.0,9.0,3.0,6.0,3.0,12.0,8.0,0.0
335987,2008-04-21,Rajasthan Royals vs Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,wickets,6.0,166.0,168.0,SR Watson,Aleem Dar,RB Tiffin,S Venkataraghavan,54.0,74.0,38.0,1.0,5.0,10.0,8.0,14.0,16.0,5.0,9.0,2.0,10.0,3.0,12.0,9.0,6.0,8.0,7.0,8.0,4.0,14.0,11.0,5.0,5.0,14.0,12.0,5.0,4.0,7.0,4.0,11.0,11.0,12.0,2.0,12.0,12.0,15.0,10.0,2.0,9.0,4.0,0.0
335988,2008-04-22,Deccan Chargers vs Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,wickets,9.0,142.0,143.0,V Sehwag,IL Howell,AM Saheba,Talat Ali,25.0,57.0,60.0,0.0,8.0,6.0,1.0,7.0,2.0,9.0,2.0,7.0,1.0,9.0,6.0,2.0,6.0,5.0,8.0,8.0,26.0,12.0,12.0,4.0,14.0,12.0,2.0,5.0,10.0,7.0,5.0,22.0,12.0,5.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335989,2008-04-23,Chennai Super Kings vs Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,runs,6.0,208.0,202.0,ML Hayden,DJ Harper,GA Pratapkumar,FM Engineer,53.0,105.0,50.0,6.0,9.0,14.0,1.0,5.0,11.0,5.0,5.0,7.0,9.0,14.0,11.0,11.0,14.0,6.0,14.0,10.0,14.0,11.0,13.0,7.0,0.0,12.0,5.0,19.0,2.0,5.0,10.0,7.0,8.0,4.0,9.0,10.0,20.0,4.0,13.0,21.0,13.0,9.0,11.0
335990,2008-04-24,Deccan Chargers vs Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,214.0,217.0,YK Pathan,Asad Rauf,MR Benson,S Venkataraghavan,58.0,102.0,54.0,12.0,10.0,10.0,1.0,15.0,9.0,3.0,11.0,6.0,7.0,13.0,9.0,10.0,11.0,18.0,12.0,11.0,15.0,15.0,10.0,5.0,7.0,5.0,15.0,22.0,16.0,9.0,16.0,12.0,4.0,7.0,5.0,8.0,5.0,19.0,17.0,10.0,5.0,4.0,19.0
335991,2008-04-25,Kings XI Punjab vs Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,runs,66.0,182.0,116.0,KC Sangakkara,Aleem Dar,AM Saheba,FM Engineer,60.0,86.0,36.0,2.0,6.0,7.0,10.0,17.0,16.0,9.0,11.0,5.0,8.0,13.0,3.0,6.0,6.0,16.0,8.0,6.0,4.0,10.0,12.0,1.0,11.0,4.0,2.0,13.0,5.0,6.0,14.0,4.0,2.0,1.0,22.0,4.0,4.0,3.0,4.0,1.0,6.0,2.0,0.0
